	anni		ancora-anni	1
	arpione		ancora-arpione	1
	automobilista		ancora-automobilista	1
	bambina		ancora-bambina	1
	bersaglio		ancora-bersaglio	6
	cavo		ancora-cavo	1
	città		ancora-città	1
	compagni		ancora-compagni	1
	corporeità		ancora-corporeità	1
	cuore		ancora-cuore	1
	edizione		ancora-edizione	1
	figlio		ancora-figlio-unico	1
	fondo		ancora-fondo	1
	insegnante		ancora-insegnante	1
	interlocutori		ancora-interlocutori	1
	notte		ancora-notte	1
	orso		ancora-orso	1
	parenti		ancora-parenti	1
	Pietro		ancora-Pietro	1
	pooh		ancora-pooh	1
	presidente		ancora-presidente	1
	rocker		ancora-rocker	1
	ruota		ancora-ruota	1
	scusa		ancora-scusa	1
	Siouxsie		ancora-Siouxsie	1
	Storia		ancora-Storia	1
	umani		ancora-umani	1
	verricello		ancora-verricello	1
	vita		ancora-vita	2
