	agente		ora-agente	1
	attualità		ora-attualità	1
	aula		ora-aula	1
	buca		ora-buca	2
	buonora		ora-buonora	1
	Calendario		ora-Calendario	1
	cartelli		ora-cartelli	1
	Casa		ora-Casa	1
	cattedra		ora-cattedra	1
	conservatori		ora-conservatori	1
	Coppa		ora-Coppa	1
	corso		ora-corso	1
	temperatura		ora-data-temperatura	4
	condizioni		ora-date-condizioni	1
	demolito		ora-demolito	1
	deportati		ora-deportati	1
	esame		ora-esame	1
	ex		ora-ex	1
	fidanzata		ora-fidanzata	1
	frequenza		ora-frequenza	2
	Gara		ora-Gara	1
	giorno		ora-giorno	6
	gradi		ora-gradi	2
	indici		ora-indici	4
	individuo		ora-individuo	1
	irene		ora-irene	1
	laser		ora-laser	4
	laurea		ora-laurea	1
	lavoro		ora-lavoro	35
	lezione		ora-lezione	1
	luce		ora-luce	6
	luogo		ora-luogo	1
	macchine		ora-macchine	1
	mail		ora-mail	1
	Mazzoleni		ora-Mazzoleni	1
	MET		ora-MET	2
	meteo		ora-meteo	1
	misura		ora-misura	1
	morto		ora-morto	1
	nome		ora-nome	1
	occasioni		ora-occasioni	1
	officina		ora-officina	1
	operaio		ora-operaio	1
	pagamento		ora-pagamento	1
	pagina		ora-pagina	1
	pasti		ora-pasti	1
	perdita		ora-perdita	1
	pintura		ora-pintura	1
	progetto		ora-progetto	1
	scopo		ora-scopo	1
	scuola		ora-scuola	1
	sicurezze		ora-sicurezze	1
	spettacolo		ora-spettacolo	1
	terremoto		ora-terremoto	1
	tono		ora-tono	1
	Totale		ora-Totale	1
	tv		ora-tv	1
	uomo		ora-uomo	3
	vetro		ora-vetro	1
	web		ora-web	1
